Objekt_id;Objekt;Phasen_id;Phase;Phasendefinition;BBCH_Code;Hinweis BBCH;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
         132;Stiel-Eiche                                                                     ;        32;herbstlicher Blattfall                  ;etwa die Hälfte der Blätter des Beobachtungsbaumes ist abgefallen                                                                                                                                       ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         133;Tanne                                                                           ;         5;Blüte Beginn                            ;die Blüten haben sich geöffnet und geben Blütenstaub ab                                                                                                                                                 ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         133;Tanne                                                                           ;         8;Maitrieb                                ;die ersten Knospen platzen auf und die Hüllen lösen sich vom Knospenrand ab                                                                                                                             ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         134;Traubenkirsche                                                                  ;         5;Blüte Beginn                            ;die ersten Blüten haben sich vollständig geöffnet, so da3s die Blütenblätter zwischen den entfalteten Blütenblättern sichtbar sind und Blütenstaub abgeben                                              ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         135;Wiesen-Fuchsschwanz                                                             ;         5;Blüte Beginn                            ;die ersten Blüten öffnen sich und die violetten Staubbeutel werden sichtbar                                                                                                                             ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         135;Wiesen-Fuchsschwanz                                                             ;         6;Vollblüte                               ;an etwa der Hälfte der Ährenripsen hängen die Staubbeutel heraus und geben bei Berührung Blütenstaub ab                                                                                                 ;            65;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         136;Wiesen-Knäuelgras                                                               ;         6;Vollblüte                               ;an etwa der Hälfte der Ährchen hängen die leicht grauvioletten Staubbeutel an langen Filamenten und geben bei Berührung Blütenstaub ab                                                                  ;            65;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         137;Winter-Linde                                                                    ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich vollständig aus der Knospe herausgeschoben und bis zum Stiel entfaltet                                                                                                    ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         137;Winter-Linde                                                                    ;         5;Blüte Beginn                            ;die ersten Einzelblüten an den Trugdolden haben sich vollständig geöffnet und strömen einen starken Duft aus                                                                                            ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         138;Zweigriffliger Weißdorn                                                         ;        62;erste reife Früchte                     ;die ersten Früchte sind vollständig ausgefärbt                                                                                                                                                          ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         138;Zweigriffliger Weißdorn                                                         ;         5;Blüte Beginn                            ;an einigen Trugdolden öffnen sich die ersten Blüten und die Griffel sind deutlich zu sehen                                                                                                              ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 

